Fire,GIS_Acres,n_before,n_after,Oxygen_before,Oxygen_after,Oxygen_change,Turbidity_before,Turbidity_after,Turbidity_change,Phosphorus as P_before,Phosphorus as P_after,Phosphorus as P_change,Nitrogen_before,Nitrogen_after,Nitrogen_change,pH_before,pH_after,pH_change
AUGUST COMPLEX,1032699.6,30,1,8.926666666666666,6.1,-2.826666666666666,0.7420000000000001,1.1,0.358,0.02889285714285714,0.07,0.04110714285714287,,,,,,
BAGLEY,46040.15,1,1,10.11,9.0,-1.1099999999999994,0.5,0.08,-0.42,0.0131,0.019,0.005899999999999999,0.0645,0.11,0.0455,8.27,8.5,0.23000000000000043
BLUE CUT,36266.695,8,1,6.468333333333334,7.28,0.8116666666666665,,,,0.03625,0.033,-0.003249999999999996,,,,8.114,8.33,0.2159999999999993
BOREL,3417.8994,2,4,3.28,9.409999999999998,6.129999999999999,,,,0.0576,0.22866666666666666,0.17106666666666664,,,,8.5,8.133333333333333,-0.36666666666666714
BOUQUET,4285.11,1,1,,,,2.4,1.2,-1.2,,,,,,,6.81,8.17,1.3600000000000003
BRIDGE,7233.531,28,1,11.69,13.36,1.67,1.2076,0.71,-0.49760000000000004,,,,,,,8.048124999999999,6.88,-1.168124999999999
CALDOR,221786.39,27,11,8.580555555555556,9.246666666666668,0.6661111111111122,1.0643478260869568,57.823750000000004,56.759402173913045,0.015010526315789478,0.145,0.12998947368421052,,,,7.7214285714285715,7.8500000000000005,0.128571428571429
CAMP,153335.56,4,35,10.3,10.4872,0.18719999999999892,1.685,71.92885714285715,70.24385714285715,0.017466666666666665,0.22624999999999992,0.20878333333333327,0.06943333333333333,0.5630000000000001,0.4935666666666667,8.063333333333333,7.4750000000000005,-0.588333333333332
CANNON,26684.135,4,4,9.033333333333333,7.5,-1.5333333333333332,2.3,3.9749999999999996,1.6749999999999998,,,,,,,,,
CHALK,16265.7705,16,10,10.240909090909089,10.677499999999998,0.4365909090909099,3.1428571428571432,9.860000000000001,6.717142857142858,,,,0.13461538461538464,0.2578,0.12318461538461534,8.21,8.263333333333334,0.05333333333333279
DIXIE,963405.44,70,14,9.05826923076923,9.569090909090908,0.5108216783216779,2.9258620689655164,3.7069230769230765,0.7810610079575602,0.061825641025641025,0.04111111111111111,-0.020714529914529912,,,,7.972040816326531,8.071818181818182,0.09977736549165162
GALLERY,163606.69,17,4,10.502500000000001,11.979999999999999,1.4774999999999974,0.5133333333333332,2.025,1.5116666666666667,,,,1.1,0.323,-0.7770000000000001,8.079166666666667,8.35,0.27083333333333215
GAVILAN,334.58276,1,1,,,,,,,,,,,,,6.97,6.14,-0.8300000000000001
GLASS,67484.41,26,5,9.706190476190475,7.8500000000000005,-1.8561904761904744,0.7379999999999999,0.5739999999999998,-0.16400000000000003,0.084975,0.07250000000000001,-0.012474999999999986,,,,8.259545454545455,8.38,0.12045454545454604
HARRIS 2,90728.33,6,5,8.819999999999999,6.109999999999999,-2.709999999999999,,,,0.224,1.859,1.635,,,,7.756666666666667,8.105,0.3483333333333336
JALAMA,333.0409,15,12,9.46,10.18,0.7199999999999989,72.45714285714286,9.212,-63.24514285714285,0.15999999999999998,0.1929,0.03290000000000001,1.3551567285714285,0.6039000000000001,-0.7512567285714284,7.950833333333333,8.103333333333333,0.15250000000000075
MILL,65882.04,1,2,9.6,7.55,-2.05,,,,,,,,,,,,
MOUNTAIN VIEW,20374.564,92,2,9.375,8.4,-0.9749999999999996,10.004352941176471,0.825,-9.179352941176472,0.0636764705882353,0.155,0.09132352941176469,,,,,,
NORTH COMPLEX,318797.25,7,1,8.9725,6.53,-2.4425,0.6625,2.34,1.6774999999999998,0.02264,0.07,0.047360000000000006,,,,8.22,7.64,-0.580000000000001
OLD,91428.0,6,2,6.319999999999999,8.3,1.9800000000000013,,,,,,,,,,7.125,7.2,0.07500000000000018
POOMACHA,49410.97,1,1,6.0,7.65,1.6500000000000004,,,,,,,,,,,,
RANCH,410202.47,41,7,8.57060606060606,9.474,0.9033939393939399,5.067179487179487,0.632,-4.435179487179488,0.02728333333333334,0.1542857142857143,0.12700238095238098,0.168875,1.0907142857142857,0.9218392857142857,8.195833333333336,8.675,0.4791666666666643
RICE,9471.854,6,1,6.285,8.54,2.254999999999999,,,,,,,,,,6.945,9.04,2.094999999999999
RIM,256175.53,21,8,8.445000000000002,9.817499999999999,1.372499999999997,0.4876923076923076,3.1450000000000005,2.657307692307693,,,,,,,7.807857142857145,7.39,-0.41785714285714537
RIVER COMPLEX,199354.1,7,2,8.671666666666667,9.489999999999998,0.8183333333333316,0.3728571428571429,1.115,0.7421428571428571,,,,,,,7.9471428571428575,8.2,0.2528571428571418
ROUGH,151546.81,45,1,9.424782608695653,9.36,-0.06478260869565311,1.0486363636363638,7.49,6.441363636363636,0.04847,0.0983,0.04983,0.157,0.279,0.12200000000000003,7.464285714285714,8.31,0.8457142857142861
SLIDE,12769.248,10,2,8.66,8.649999999999999,-0.010000000000001563,,,,0.020200000000000003,0.04,0.019799999999999998,,,,7.5375,7.8,0.2625000000000002
STONE,39584.285,34,1,6.855,7.19,0.33499999999999996,5.250333333333332,1.02,-4.230333333333332,0.0484,0.61,0.5616,0.22694999999999999,0.386,0.15905000000000002,8.055238095238096,7.45,-0.6052380952380956
TAMARACK,67054.51,146,12,10.045573770491805,10.25,0.20442622950819533,6.505882352941178,14.219999999999999,7.714117647058821,0.05370461538461539,0.043333333333333335,-0.010371282051282057,0.2683058823529412,0.2,-0.06830588235294122,8.04220588235294,7.69875,-0.34345588235293967
THOMAS,281790.88,17,1,8.336666666666666,8.89,0.5533333333333346,4.601875000000001,2.49,-2.1118750000000004,,,,,,,7.922,8.4,0.47800000000000065
WHITE,1912.0497,33,2,9.177037037037037,11.33,2.152962962962963,29.007500000000004,20.0,-9.007500000000004,0.13799999999999998,0.0595,-0.07849999999999999,,,,7.912307692307691,8.195,0.2826923076923089
WITCH,162070.47,7,7,,,,5.467142857142856,7.06,1.5928571428571434,0.17066,0.0573,-0.11336000000000002,,,,7.8340000000000005,8.184000000000001,0.35000000000000053
