WaterQualityID,StationCode,StationName,TargetLatitude,TargetLongitude,Region,SampleDate,"Arsenic, Total","Cadmium, Total","Chromium, Total","Nitrogen, Total, Total","Oxygen, Dissolved, Total","Phosphorus as P, Total","Total Organic Carbon, Total","Turbidity, Total",pH,SampleYear,index_right,FIRE_NAME,ALARM_DATE,FireYear,GIS_ACRES,days_since_fire
21423,315JAL,Jalama Creek at County Park at RR trussels,34.51217198,-120.498226,3,2004-08-10,,,,,8.28,,,,7.94,2004,7194.0,JALAMA,2004-07-19,2004.0,333.0409,22.0
21424,315JAL,Jalama Creek at County Park at RR trussels,34.51217198,-120.498226,3,2004-08-11,,,,,7.39,,,,7.9,2004,7194.0,JALAMA,2004-07-19,2004.0,333.0409,23.0
25846,514SFA222,Silver Fork American River at Silver Fork Rd.,38.69487,-120.20136,5,2021-08-17,,,,,8.03,0.04,,2.09,8.3,2021,1146.0,CALDOR,2021-08-15,2021.0,221786.39,2.0
27212,518CPCRCR,Chips Creek,40.0055,-121.271,5,2021-07-15,,,,,7.3,0.02,,0.46,8.14,2021,1144.0,DIXIE,2021-07-14,2021.0,963405.44,1.0
27325,518RCAJNC,Rock Creek ~5.7mi above Jennie Creek,40.3887,-121.1574,5,2021-07-26,,,,,7.71,0.04,,0.14,8.21,2021,1144.0,DIXIE,2021-07-14,2021.0,963405.44,12.0
27339,518RCNAPC,"Rice Creek, North Arm",40.4002,-121.439,5,2021-07-19,,,,,,0.07,,0.35,8.17,2021,1144.0,DIXIE,2021-07-14,2021.0,963405.44,5.0
47062,554KER040,Keyesville Rec Area,35.639,-118.4846,5,2002-06-19,,,,,8.87,,,,8.5,2002,7752.0,BOREL,2002-06-15,2002.0,3417.8994,4.0
49494,632ECRB10,"East Fork Carson River, above Hangman's bridge",38.68959,-119.76394,6,2021-08-02,,,,,7.5,,,110.0,,2021,1154.0,TAMARACK,2021-07-04,2021.0,67054.51,29.0
54034,911NP9UCW,Cottonwood Creek ~1.4mi above I8,32.81829,-116.49235,9,2014-03-24,,,,0.209,,0.0238,,,10.5,2014,4106.0,GUN,2014-03-08,2014.0,270.07477,16.0
